Athina,1896,11
Paris,1900,30
St. Louis,1904,40
Athina,1906,51
London,1908,132
Stockholm,1912,242
Antwerpen,1920,234
Paris,1924,284
Amsterdam,1928,336
Los Angeles,1932,212
Berlin,1936,486
London,1948,590
Helsinki,1952,883
Melbourne,1956,944
Stockholm,1956,36
Roma,1960,3900
Tokyo,1964,3522
Mexico City,1968,3966
Munich,1972,5004
Montreal,1976,4099
Moskva,1980,3697
Los Angeles,1984,5176
Seoul,1988,6072
Barcelona,1992,4852
Atlanta,1996,5915
Sydney,2000,6892
Athina,2004,6663
Beijing,2008,6740
London,2012,6266
Rio de Janeiro,2016,6961
City,Year,1
