Athina,1896,2,11
Paris,1900,6,30
St. Louis,1904,8,40
Athina,1906,8,51
London,1908,11,132
Stockholm,1912,9,242
Antwerpen,1920,16,234
Paris,1924,15,284
Amsterdam,1928,14,336
Los Angeles,1932,11,212
Berlin,1936,16,486
London,1948,20,590
Helsinki,1952,19,883
Melbourne,1956,18,944
Stockholm,1956,1,36
Roma,1960,19,3900
Tokyo,1964,21,3522
Mexico City,1968,20,3966
Munich,1972,23,5004
Montreal,1976,23,4099
Moskva,1980,23,3697
Los Angeles,1984,25,5176
Seoul,1988,27,6072
Barcelona,1992,29,4852
Atlanta,1996,31,5915
Sydney,2000,34,6892
Athina,2004,34,6663
Beijing,2008,34,6740
London,2012,32,6266
Rio de Janeiro,2016,34,6961
City,Year,1,1
